V2_READ_CODE	V2_TERM_CODE	V2_TERM	V3_READ_CODE	V3_TERM_ID	V3_TERM	SNOMED_CONCEPT_ID	SNOMED_DESCRIPTION_ID	SNOMED_TERM	KEY	COMMENTS	REPORT	REQUEST	BATTERY	LEVEL	TEST	RATIO	BOOLEAN	TEXT	STATUS	RELEASE_DATE
46QI.	00	Urine phenothiazine level	XE262	YabSr	Urine phenothiazine level	1019981000000100	2569741000000112	Urine phenothiazine level			T	T	F	T	T	F	F	F	C	1999-09-01
46QJ.	00	Urine codeine level	XaDvV	Yae4G	Urine codeine level	1019991000000103	2563131000000116	Urine codeine level			T	T	F	T	T	F	F	F	C	1999-09-01
46QK.	00	Urine dihydrocodeine level	XaDvW	Yae4H	Urine dihydrocodeine level	1020001000000107	2575421000000116	Urine dihydrocodeine level			T	T	F	T	T	F	F	F	C	1999-09-01
46QL.	00	Urine opiate level	XaDvX	Yae4I	Urine opiate level	1020011000000109	2580711000000117	Urine opiate level			T	T	F	T	T	F	F	F	C	1999-09-01
46QM.	00	Urine cannabinoid level	XaDvY	Yae4J	Urine cannabinoid level	1030731000000101	2602551000000115	Urine cannabinoid level		Deleted Oct 14.  Use 46QM2 Ur THCA concentration	T	T	F	T	T	F	F	F	D	1999-09-01
46QN.	00	Urine MDA level	XaEP3	Yallp	Urine MDA level	1022301000000109	2553441000000110	Urine methylenedioxyamphetamine level	MDA		T	T	F	T	T	F	F	F	C	1999-09-01
46QO.	00	Urine MDEA level	XaELm	Yalqi	Urine MDEA level	1022311000000106	2575721000000113	Urine 3,4-methylenedioxyethamphetamine level	MDEA		T	T	F	T	T	F	F	F	C	1999-09-01
46QP.	00	Urine MDMA level	XaEU7	Yalsm	Urine MDMA level	1022321000000100	2567221000000116	Urine methylenedioxymethamphetamine level	MDMA		T	T	F	T	T	F	F	F	C	1999-09-01
46QQ.	00	Urine metamphetamine level	XaENj	YaloN	Urine metamfetamine level	1022331000000103	2566611000000110	Urine metamphetamine level			T	T	F	T	T	F	F	F	C	1999-09-01
46QR.	00	Urine pseudoephedrine level	XaELn	YaenZ	Urine pseudoephedrine level	1022341000000107	2558681000000110	Urine pseudoephedrine level			T	T	F	T	T	F	F	F	C	1999-09-01
46R4.	00	Urine porphobilinogen	XE264	YabSt	Urine porphobilinogen level	1022351000000105	2575731000000110	Urine porphobilinogen level			T	T	F	T	T	F	F	F	C	1999-09-01
46R6.	00	Urine urobilin	XE266	YabSv	Urine urobilin level	1022361000000108	2566621000000116	Urine urobilin level			T	T	F	T	T	F	F	F	C	1999-09-01
46R8.	00	Urine bile salts	46R8.	Y7Fe4	Urine bile salts	1022371000000101	2580931000000111	Urine bile salts			T	T	T	F	F	F	F	F	C	1999-09-01
46S2.	00	Urine total reducing substance	46S2.	Y7FiB	Urine total reducing substance	1022381000000104	2566631000000119	Urine total reducing substance			T	T	F	T	T	F	F	F	C	1999-09-01
46S3.	00	Urine galactose	XE2eL	YabTh	Urine galactose level	1023421000000102	2570211000000117	Urine galactose level			T	T	F	T	T	F	F	F	C	1999-09-01
46S5.	00	Urine fructose	XE2eM	YabTi	Urine fructose level	1023431000000100	2558851000000117	Urine fructose level			T	T	F	T	T	F	F	F	C	1999-09-01
46S6.	00	Urine sucrose	XE2eN	YabTj	Urine sucrose level	1023441000000109	2566831000000118	Urine sucrose level			T	T	F	T	T	F	F	F	C	1999-09-01
46S7.	00	Urine lactose	XE2eO	YabTk	Urine lactose level	1023451000000107	2575821000000118	Urine lactose level			T	T	F	T	T	F	F	F	C	1999-09-01
46S8.	00	Urine xylose	XE2eP	YabTl	Urine xylose level	1027001000000108	2600481000000114	Urine xylose level		Deleted Oct 14.  Outmoded test.	T	T	F	T	T	F	F	F	D	1999-09-01
46T2.	00	Urine cysteine	XE2eR	YabTn	Urine cysteine level	1023461000000105	2566841000000110	Urine cysteine level			T	T	F	T	T	F	F	F	C	1999-09-01
46T8.	00	Urine hydroxyproline	XE2eT	YabTp	Urine hydroxyproline level	1023471000000103	2584041000000112	Urine hydroxyproline level			T	T	F	T	T	F	F	F	C	1999-09-01
46TB.	00	Urine haemosiderin	XE2qc	Yabbi	Urinary haemosiderin level	1023481000000101	2566851000000113	Urine haemosiderin level			T	T	F	T	T	F	F	F	C	1999-09-01
46TC.	00	Urine albumin:creatinine ratio	XE2n3	Yaf2H	Urine albumin/creatinine ratio	1023491000000104	2553591000000116	Urine albumin:creatinine ratio			T	T	T	T	T	T	F	F	C	1999-09-01
46TE.	00	24 hour urine 5HIAA output	XaERe	YaetQ	24 hour urine 5HIAA output	1023501000000105	2575831000000116	24 hour urine 5-hydroxyindole acetic acid output			T	T	F	T	T	F	F	F	C	1999-09-01
46TF.	00	24h urine adrenaline output	XaENx	Yaepj	24h urine adrenaline output	1023511000000107	2575841000000113	24 hour urine adrenaline output			T	T	F	T	T	F	F	F	C	1999-09-01
46TG.	00	24 hour urine amylase output	XaEMh	YaeoT	24 hour urine amylase output	1023521000000101	2566861000000111	24 hour urine amylase output			T	T	F	T	T	F	F	F	C	1999-09-01
46TH.	00	24h urine catecholamine output	XaETJ	Yaev5	24h urine catecholamine output	1023531000000104	2566871000000116	24 hour urine catecholamine output			T	T	F	T	T	F	F	F	C	1999-09-01
46TI.	00	24 hour urine citrate output	XaELo	Yaena	24 hour urine citrate output	1023541000000108	2575851000000111	24 hour urine citrate output			T	T	T	T	T	F	F	F	C	1999-09-01
46TJ.	00	24 hour urine cortisol output	XaEMi	YaeoU	24 hour urine cortisol output	1023551000000106	2553601000000110	24 hour urine cortisol output			T	T	F	T	T	F	F	F	C	1999-09-01
46TK.	00	24 hour urine cystine output	XaEMI	Yaeo4	24 hour urine cystine output	1023561000000109	2581041000000114	24 hour urine cystine output			T	T	T	T	T	F	F	F	C	1999-09-01
46TL.	00	24 hour urine dopamine output	XaEPH	Yaer3	24 hour urine dopamine output	1023571000000102	2570221000000111	24 hour urine dopamine output			T	T	F	T	T	F	F	F	C	1999-09-01
46TM.	00	Urine N-methyl histamine level	XaEOE	Yaeq0	Urine N-methyl histamine level	1023581000000100	2570231000000113	Urine N-methyl histamine level			T	T	F	T	T	F	F	F	C	1999-09-01
46TN.	00	Urine alanine level	XaEOQ	YaeqC	Urine alanine level	1023591000000103	2570241000000116	Urine alanine level			T	T	F	T	T	F	F	F	C	1999-09-01
46TO.	00	Urine arsenic level	XaEMk	YaeoW	Urine arsenic level	1023601000000109	2570251000000118	Urine arsenic level			T	T	F	T	T	F	F	F	C	1999-09-01
46TP.	00	Urine citrate level	XaEO9	Yaepv	Urine citrate level	1023611000000106	2584051000000110	Urine citrate level			T	T	F	T	T	F	F	F	C	1999-09-01
46TQ.	00	Urine coproporphyrin level	XaEOA	Yaepw	Urine coproporphyrin level	1023621000000100	2584061000000113	Urine coproporphyrin level			T	T	F	T	T	F	F	F	C	1999-09-01
46TR.	00	Urine cotinine level	XaEQs	Yaese	Urine cotinine level	1023631000000103	2584071000000118	Urine cotinine level			T	T	F	T	T	F	F	F	C	1999-09-01
46TS.	00	Urine cystine level	XaEPZ	YaerL	Urine cystine level	1023641000000107	2567461000000111	Urine cystine level			T	T	F	T	T	F	F	F	C	1999-09-01
46TT.	00	Urine ferrous chloride level	XaEOn	YaeqZ	Urine ferrous chloride level	1027211000000103	2601721000000111	Urine ferrous chloride level		Deleted Oct 14.  Outmoded test	T	T	F	T	T	F	F	F	D	1999-09-01
46TU.	00	Urine homocystine level	XaEOC	Yaepy	Urine homocystine level	1023651000000105	2581051000000112	Urine homocystine level			T	T	F	T	T	F	F	F	C	1999-09-01
46TV.	00	Urine melanin level	XaEPf	YaerR	Urine melanin level	1023661000000108	2558861000000119	Urine melanin level			T	T	F	T	T	F	F	F	C	1999-09-01
46TW.	00	Urine oligosaccharide level	XaEPq	Yaerc	Urine oligosaccharide level	1023671000000101	2567471000000116	Urine oligosaccharide level			T	T	F	T	T	F	F	F	C	1999-09-01
46TX.	00	Urine sulphite level	XaENG	Yaep2	Urine sulphite level	1023681000000104	2558871000000114	Urine sulphite level			T	T	F	T	T	F	F	F	C	1999-09-01
46TY.	00	Urine uroporphyrin level	XaEON	Yaeq9	Urine uroporphyrin level	1023691000000102	2575861000000114	Urine uroporphyrin level			T	T	F	T	T	F	F	F	C	1999-09-01
46Ta.	00	Urine vitamin B2 level	XaEOB	Yaepx	Urine vitamin B2 level	1030841000000103	2601691000000119	Urine vitamin B2 level		Deleted Oct 14.  Outmoded test	T	T	F	T	T	F	F	F	D	1999-09-01
46Tb.	00	Urine vitamin C level	XaEP9	Yaeqv	Urine vitamin C level	1023701000000102	2570261000000115	Urine vitamin C level			T	T	F	T	T	F	F	F	C	1999-09-01
46Tc.	00	Urine vitamin B1 level	XaEU8	Yaevu	Urine vitamin B1 level	1027221000000109	2601861000000112	Urine vitamin B1 level		Deleted Oct 14.  Outmoded test	T	T	F	T	T	F	F	F	D	1999-09-01
46U..	00	Urine culture	46U..	Y7GZn	Urine culture	1023711000000100	2575871000000119	Urine culture			T	T	T	F	T	F	F	T	C	1999-09-01
46V..	00	Other urine volume	46V..	Y7FPT	Other urine volume	1027231000000106	2599021000000117	Other urine volume		Deleted: ambiguous code	T	T	F	T	T	F	F	F	D	1999-09-01
46X..	00	Urine nitrite	46X..	YaXW0	Urine nitrite	1023721000000106	2566881000000119	Urine nitrite level			T	T	F	T	T	F	F	F	C	1999-09-01
46Y..	00	Urine DNPH level	XaEMD	Yaenz	Urine DNPH level	1030851000000100	2601591000000115	Urine DNPH (dinitrophenylhydrazine) level		Deleted Oct 14.  Outmoded test	T	T	F	T	T	F	F	F	D	1999-09-01
46a..	00	Urine sugar chromatography	XaEU6	Yaevs	Urine sugar chromatography	1023731000000108	2581061000000110	Urine sugar chromatography			T	T	T	F	T	F	T	F	C	1999-09-01
46b..	00	Urine reducing substance level	XaEPn	YaerZ	Urine reducing substance level	1023741000000104	2575881000000117	Urine reducing substance level			T	T	T	T	T	F	F	F	C	1999-09-01
478..	00	Faeces: pancreatic effects	XE26E	Y7FPD	Faeces: pancreatic effects	269903002	1206385016	Faeces pancreatic effects		Apr15: For deletion Oct15.  Ambiguous term.	T	T	F	T	T	F	F	F	C	1999-09-01
478B.	00	Faecal fat	X7735	Y7FiN	Faecal fat level	1023761000000103	2553611000000112	Faecal fat			T	T	F	T	T	F	F	F	C	1999-09-01
478C.	00	Faecal lipase	Xa1dm	YaegV	Faecal lipase	1023771000000105	2570291000000114	Faecal lipase			T	T	F	T	T	F	F	F	C	1999-09-01
478D.	00	Faecal starch	Xa1dn	YaegW	Faecal starch	1023781000000107	2553621000000118	Faecal starch			T	T	F	T	T	F	F	F	C	1999-09-01
478E.	00	24 hour faecal fat output	XaEPL	Yaer7	24 hour faecal fat output	992181000000102	2581251000000119	24 hour faecal fat output		Apr15: For deletion Oct15. Outmoded test.	T	T	F	T	T	F	F	F	C	1999-09-01
478F.	00	Faecal A1 antitrypsin	XaETj	YaevV	Faecal A1 antitrypsin	992191000000100	2568491000000116	Faecal A1 antitrypsin			T	T	F	T	T	F	F	F	C	1999-09-01
478G.	00	Faecal chymotrypsin level	XaEOJ	Yaeq5	Faecal chymotrypsin level	992201000000103	2567651000000111	Faecal chymotrypsin level			T	T	F	T	T	F	F	F	C	1999-09-01
47B3.	00	Faecal reducing substance lev	XaELf	YaenR	Faecal reducing substance lev	992211000000101	2570531000000110	Faecal reducing substance level			T	T	T	T	T	F	F	F	C	1999-09-01
47C..	00	Faeces sugar chromatography	47C..	Y7GOy	Faeces sugar chromatography	992221000000107	2554621000000116	Faeces sugar chromatography			T	T	T	F	T	F	F	T	C	1999-09-01
47Z1.	00	Faecal porphyrins	XE2qe	Yabbk	Faecal porphyrin level	992231000000109	2567041000000119	Faecal porphyrins			T	T	T	F	T	F	F	F	C	1999-09-01
484..	00	CSF cell content	484..	YaejH	Cerebrospin fluid cell content	1027861000000100	2599741000000114	CSF (cerebrospinal fluid) cell content		Deleted Jan 05 - duplicate. Use 48G.. Cerebrospinal fluid cell count	T	T	T	F	T	F	F	T	D	1999-09-01
487..	00	CSF: protein level	XE26F	Y7Ffb	CSF: protein level	992241000000100	2570541000000118	CSF (cerebrospinal fluid) protein level			T	T	F	T	T	F	F	F	C	1999-09-01
4874.	00	CSF albumin level	XaEQp	Yaesb	CSF albumin level	992251000000102	2568501000000110	CSF (cerebrospinal fluid) albumin level			T	T	F	T	T	F	F	F	C	1999-09-01
488..	00	CSF: glucose level	XE26G	Y7FhH	CSF: glucose level	992261000000104	2568511000000112	CSF (cerebrospinal fluid) glucose level			T	T	F	T	T	F	F	F	C	1999-09-01
489..	00	CSF: chloride level	489..	Y7Fad	CSF: chloride level	992271000000106	2567661000000114	CSF (cerebrospinal fluid) chloride level			T	T	F	T	T	F	F	F	C	1999-09-01
48A..	00	CSF: globulin level	XE26H	Y7Fga	CSF: globulin level	992281000000108	2572081000000116	CSF (cerebrospinal fluid) globulin level			T	T	F	T	T	F	F	F	C	1999-09-01
48B..	00	CSF: electrophoresis	48B..	Y7GOU	CSF: electrophoresis	992291000000105	2572091000000119	CSF (cerebrospinal fluid) electrophoresis			T	T	F	F	T	F	F	T	C	1999-09-01
48C..	00	CSF lactate level	XaEMs	Yaeoe	CSF lactate level	992301000000109	2559121000000110	CSF (cerebrospinal fluid) lactate level			T	T	F	T	T	F	F	F	C	1999-09-01
49B0.	00	Sperm forward progression	XaCmJ	YacgY	Sperm forward progression	310883007	454408019	Sperm forward progression			T	T	F	F	T	F	F	T	C	1999-09-01
49D..	00	Density of motile sperm	49D..	YMGpl	Density of motile sperm	992321000000100	2568521000000118	Density of motile sperm			T	T	F	T	T	F	F	F	C	1999-09-01
49E..	00	Tray agglutination test	49E..	YMGpU	Tray agglutination test	992331000000103	2568531000000116	Tray agglutination test			T	T	F	F	T	F	F	T	C	1999-09-01
49G..	00	Semen liquefaction time	X77UG	Y7GJE	Semen liquefaction time	992341000000107	2570561000000117	Semen liquefaction time			T	T	F	T	T	F	F	F	C	1999-09-01
49H..	00	Mixed antiglob test for sperm	X77lj	Y7Gqq	Mixed antiglob test for sperm	992351000000105	2559131000000112	Mixed antiglobulin test for sperm			T	T	F	F	T	F	T	T	C	1999-09-01
4A4..	00	Vomit pH	4A4..	Y7FM7	Vomit pH	992361000000108	2554631000000119	Vomit pH			T	T	F	T	T	T	F	F	C	1999-09-01
4B4..	00	Synovial fluid viscosity	4B4..	Y7FV8	Synovial fluid viscosity	167886001	260820010	Synovial fluid viscosity			T	T	F	T	T	F	F	F	C	1999-09-01
4B6..	00	Synovial fluid cell count	4B6..	Y7FV2	Synovial fluid cell count	992381000000104	2559151000000117	Synovial fluid cell count			T	T	F	T	T	F	F	T	C	1999-09-01
4D...	00	Pleural fluid examination	4D...	Y7GY7	Pleural fluid examination	992391000000102	2559161000000119	Pleural fluid examination			T	T	T	F	T	F	F	T	C	1999-09-01
4D3..	00	Pleural fluid specific gravity	4D3..	Y7FMQ	Pleural fluid specific gravity	992401000000104	2568551000000111	Pleural fluid specific gravity			T	T	F	T	T	F	F	F	C	1999-09-01
4D4..	00	Pleural fluid protein content	4D4..	Y7FLK	Pleural fluid protein content	992411000000102	2568561000000114	Pleural fluid protein content			T	T	F	T	T	F	F	F	C	1999-09-01
4D5..	00	Pleural fluid microscopy	4D5..	Y7GZS	Pleural fluid microscopy	992421000000108	2559171000000114	Pleural fluid microscopy			T	T	F	F	T	F	F	T	C	1999-09-01
4DZ1.	00	Pleural fluid amylase	XE2tk	Y7FbL	Pleural fluid amylase	992431000000105	2559181000000111	Pleural fluid amylase level			T	T	F	T	T	F	F	F	C	1999-09-01
4E3..	00	Sputum microscopy	4E3..	Y7GZX	Sputum microscopy	992441000000101	2554641000000111	Sputum microscopy			T	T	T	F	T	F	F	T	C	1999-09-01
4G12.	00	Weight of calculus	XaEQn	YaesZ	Weight of calculus	992451000000103	2559191000000113	Weight of calculus			T	T	F	T	T	F	F	F	C	1999-09-01
4G95.	00	Calculus calcium content	XaEWF	Yaf1A	Calculus calcium content	992461000000100	2568571000000119	Calculus calcium content			T	T	F	T	T	F	F	F	C	1999-09-01
4G96.	00	Calculus oxalate content	XaEWG	Yaf1B	Calculus oxalate content	992471000000107	2567671000000119	Calculus oxalate content			T	T	F	T	T	F	F	F	C	1999-09-01
4G97.	00	Calculus uric acid content	XaEWH	Yaf1C	Calculus uric acid content	992481000000109	2568581000000117	Calculus uric acid content			T	T	F	T	T	F	F	F	C	1999-09-01
4G98.	00	Calculus ammonia content	XaEWI	Yaf1D	Calculus ammonia content	992491000000106	2568591000000115	Calculus ammonia content			T	T	F	T	T	F	F	F	C	1999-09-01
4G99.	00	Calculus phosphate content	XaEWJ	Yaf1E	Calculus phosphate content	992501000000100	2554651000000114	Calculus phosphate content			T	T	F	T	T	F	F	F	C	1999-09-01
4G9A.	00	Calculus bilirubin content	XaEWK	Yaf1F	Calculus bilirubin content	992511000000103	2567681000000117	Calculus bilirubin content			T	T	F	T	T	F	F	F	C	1999-09-01
4G9B.	00	Calculus cholesterol content	XaEWL	Yaf1G	Calculus cholesterol content	992521000000109	2576121000000117	Calculus cholesterol content			T	T	F	T	T	F	F	F	C	1999-09-01
4H43.	00	Amniotic fluid L/S ratio	XE26U	Y7Fj5	Amniotic fluid L/S ratio	1029841000000108	2599061000000113	Amniotic fluid L/S ratio		Deleted Oct 14.  Obsolete.	T	T	F	F	T	T	F	T	D	1999-09-01
4H44.	00	Amniotic fluid palmitic acid	4H44.	Y7FWe	Amniotic fluid palmitic acid	1029851000000106	2599071000000118	Amniotic fluid palmitic acid		Deleted Oct 14.  Obsolete.	T	T	F	T	T	F	F	F	D	1999-09-01
4H45.	00	Amniotic fluid cholinesterase	4H45.	Y7FWf	Amniotic fluid cholinesterase	1029861000000109	2599081000000116	Amniotic fluid cholinesterase		Deleted Oct 14.  Obsolete.	T	T	F	T	T	F	F	F	D	1999-09-01
4H5..	00	Amniotic fluid AFP	4H5..	Y7FWh	Amniotic fluid AFP	992531000000106	2576131000000115	Amniotic fluid AFP (alpha-fetoprotein) level			T	T	F	T	T	F	F	F	C	1999-09-01
4H6..	00	Amnicator test - nitrazamine	4H6..	Y7GNF	Amnicator test - nitrazamine	992541000000102	2559201000000110	Amnicator test - nitrazamine			T	T	T	F	T	F	F	T	C	1999-09-01
4I31.	00	Fluid sample volume	4I31.	Y7FMn	Fluid sample volume	992551000000104	2572101000000110	Fluid sample volume			T	T	F	T	T	F	F	F	C	1999-09-01
4I33.	00	Fluid sample sodium	XE26W	YabSy	Fluid sample sodium level	993611000000106	2567871000000118	Fluid sample sodium	Na		T	T	F	T	T	F	F	F	C	1999-09-01
4I34.	00	Fluid sample potassium	XE26X	YabSz	Fluid sample potassium level	993621000000100	2572291000000113	Fluid sample potassium	K		T	T	F	T	T	F	F	F	C	1999-09-01
4I35.	00	Fluid sample chloride	XE26Y	YabT0	Fluid sample chloride level	993631000000103	2568711000000117	Fluid sample chloride	Cl		T	T	F	T	T	F	F	F	C	1999-09-01
4I36.	00	Fluid sample urea	XE26Z	YabT1	Fluid sample urea level	993641000000107	2581361000000113	Fluid sample urea	Urea		T	T	F	T	T	F	F	F	C	1999-09-01
4I3A.	00	Fluid sample total protein	XE2eU	YabTq	Fluid sample total protn level	993651000000105	2559341000000118	Fluid sample total protein			T	T	T	T	T	F	F	F	C	1999-09-01
4I3B.	00	Fluid sample albumin	XE26d	YabT5	Fluid sample albumin level	993661000000108	2554841000000110	Fluid sample albumin	Alb		T	T	F	T	T	F	F	F	C	1999-09-01
4I3E.	00	Fluid sample amylase	XE26f	YabT7	Fluid sample amylase level	993671000000101	2576311000000113	Fluid sample amylase			T	T	F	T	T	F	F	F	C	1999-09-01
4I3G.	00	Fluid sample bicarbonate	XE26h	YabT9	Fluid sample bicarbonate level	993681000000104	2570741000000110	Fluid sample bicarbonate	Bicarb		T	T	F	T	T	F	F	F	C	1999-09-01
4I3K.	00	Fluid LDH level	XaETk	YaevW	Fluid LDH level	993691000000102	2570751000000113	Fluid lactate dehydrogenase level	LDH		T	T	F	T	T	F	F	F	C	1999-09-01
4I3L.	00	Urine volume	XaENi	YaepU	Urine volume	993701000000102	2576321000000119	Urine volume			T	T	F	T	T	F	F	F	C	1999-09-01
4I3M.	00	Fluid sample uric acid level	XaEV3	YaezA	Fluid sample uric acid level	1009061000000108	2582181000000114	Fluid sample uric acid level			T	T	F	T	T	F	F	F	C	1999-09-01
4I4..	00	Sweat test	4I4..	Y7GRk	Sweat test	1009071000000101	2556821000000111	Sweat test			T	T	T	F	T	F	T	T	C	1999-09-01
4I44.	00	Sweat chloride	XE2qi	Yabbo	Sweat chloride level	1009081000000104	2561801000000116	Sweat chloride level	Cl		T	T	F	T	T	F	F	F	C	1999-09-01
4I45.	00	Sweat sodium	XE2qj	Yabbp	Sweat sodium level	1009091000000102	2564791000000118	Sweat sodium level	Na		T	T	F	T	T	F	F	F	C	1999-09-01
4I46.	00	Sweat potassium level	XaEPa	YaerM	Sweat potassium level	1009101000000105	2551811000000112	Sweat potassium level	K		T	T	F	T	T	F	F	F	C	1999-09-01
4I47.	00	Sweat volume	XaEOF	Yaeq1	Sweat volume	313611000	457585012	Sweat volume			T	T	F	T	T	F	F	F	C	1999-09-01
4I48.	00	Sweat weight	XaEMf	YaeoR	Sweat weight	1009121000000101	2574011000000115	Sweat weight			T	T	F	T	T	F	F	F	C	1999-09-01
4I5..	00	Sample weight	XaEM9	Yaenv	Sample weight	1009131000000104	2586361000000116	Sample weight			T	T	F	T	T	F	F	F	C	1999-09-01
4I6..	00	Serum appearance	XaEVt	Yaf0S	Serum appearance	314037008	458316017	Serum appearance			T	T	T	F	T	F	F	T	C	1999-09-01
4J21.	00	Sample sent for bacteriology	4J21.	Y79rS	Sample sent for bacteriology	168195005	261247018	Sample sent for bacteriology		Deleted: contextual term - not clinically useful	T	T	F	F	T	F	F	F	D	1999-09-01
4JD8.	00	Mycoplasma titres	4JD8.	YaXXK	Mycoplasma titres	1009151000000106	2574021000000114	Mycoplasma titres			T	T	F	F	T	F	F	T	C	1999-09-01
4JDC.	00	Aspergillus serology	XaEU9	Yaevv	Aspergillus serology	1009161000000109	2561811000000119	Aspergillus serology			T	T	T	F	T	F	T	T	C	1999-09-01
4JDD.	00	Brucella serology	XaEPA	Yaeqw	Brucella serology	1009171000000102	2586371000000111	Brucella serology			T	T	T	F	T	F	T	T	C	1999-09-01
4JDE.	00	Legionella serology	XaEPe	YaerQ	Legionella serology	1009181000000100	2564801000000119	Legionella serology			T	T	T	F	T	F	T	T	C	1999-09-01
4JDF.	00	Leptospira serology	XaEMH	Yaeo3	Leptospira serology	1009191000000103	2556831000000113	Leptospira serology			T	T	T	F	T	F	T	T	C	1999-09-01
4JDG.	00	Yersinia serology	XaEOk	YaeqW	Yersinia serology	1009201000000101	2586381000000113	Yersinia serology			T	T	T	F	T	F	T	T	C	1999-09-01
4JI..	00	Blood sample for organism	XE26y	Y79pt	Blood sample for organism	269948003	404605015	Blood sample for organism		Deleted: use 4JI4. (Blood culture)	T	T	T	F	F	F	F	F	D	1999-09-01
4JI4.	00	Blood culture	X77bW	Y7GZl	Blood culture	1009211000000104	2551831000000116	Blood culture			T	T	T	F	T	F	F	T	C	1999-09-01
4JJ..	00	Urine sample for organism	XE26z	Y79pz	Urine sample for organism	269949006	404606019	Urine sample for organism			T	T	F	F	T	F	F	F	D	1999-09-01
4JM..	00	Helicobacter breath test	3167.	Ya2MI	Helicobacter pylor breath test	1009221000000105	2561821000000113	Helicobacter breath test			T	T	T	F	T	F	F	T	C	1999-09-01
4JN..	00	Helicobacter blood test	4JN..	YaXyo	Helicobacter blood test	1009231000000107	2574031000000111	Helicobacter blood test			T	T	T	F	T	F	F	T	C	1999-09-01
4JO..	00	CLO test helicobacter pylori	4JO..	YaaI3	CLO test helicobacter pylori	1009241000000103	2582191000000111	CLO test for helicobacter pylori			T	T	T	F	T	F	F	T	C	1999-09-01
4JQ..	00	Microbiology test	X77b5	Y7GXa	Microbiology test	1009251000000100	2564811000000117	Microbiology test		This Read code should only be used for an 'Unspecified test' (or other test with similar meaning), which is used on a rare or one-off basis and has a text result which identifies the test performed	T	T	T	T	T	T	T	T	C	1999-09-01
4JR0.	00	Rubella screening test	XaEXY	Yaf34	Rubella screening test	1009261000000102	2574041000000119	Rubella screening test			T	T	F	F	T	F	T	F	C	1999-09-01
4JR1.	00	Hepatitis B screening test	XaEXZ	Yaf35	Hepatitis B screening test	1009271000000109	2561831000000110	Hepatitis B screening test			T	T	F	F	T	F	T	F	C	1999-09-01
4L0..	00	Phenotype	XaEJx	Yaecp	Phenotype	1028321000000103	2602511000000119	Phenotype observable		Deleted: unspecified meaning	T	T	T	F	F	F	F	F	D	1999-09-01
4L00.	00	Alpha-1-antitrypsin phenotype	X772Q	Y7Ffv	Alpha-1-antitrypsin phenotype	1009281000000106	2582201000000113	Alpha-1-antitrypsin phenotype			T	T	F	F	T	F	F	T	C	1999-09-01
4L01.	00	Cholinesterase phenotype	XaERm	YaetY	Cholinesterase phenotype	1009291000000108	2574051000000116	Cholinesterase phenotype			T	T	F	T	T	T	F	T	C	1999-09-01
4L1..	00	Genotype	XaEJw	Yaeco	Genotype	1028331000000101	2602501000000116	Genotype		Deleted: unspecified meaning	T	T	T	F	F	F	F	T	D	1999-09-01
62J..	00	Rubella screen	62J..	YaeeF	Rubella screening	1009261000000102	2574041000000119	Rubella screening test		Deleted: use 4JR0. (Rubella screening test)	T	T	T	F	T	F	T	T	D	1999-09-01
6828.	00	Hepatitis B screening	X77bi	YaedN	Hepatitis B antigen screening	1028341000000105	2600771000000117	Hepatitis B antigen screening		Deleted: use 4JR1. (Hepatitis B screening test)	T	T	T	F	T	F	T	T	D	1999-09-01
6874.	00	Phenylketonuria screen	XE1Tb	Yaedo	Phenylketonuria screening	1031241000000109	2600851000000118	Phenylketonuria screening		Deleted: use 44q6. (Phenylketonuria screening test)	T	T	T	F	T	F	T	T	D	1999-09-01
6877.	00	Cystic fibrosis screen	6877.	Yaeet	Cystic fibrosis screening	1028351000000108	2600621000000110	Cystic fibrosis screening		Deleted: use 44q7. (Cystic fibrosis screening test)	T	T	T	F	T	F	T	T	D	1999-09-01
6879.	00	Hyperlipidaemia screen	XE1Td	YaemR	Hyperlipidaemia screening	1015881000000105	2583111000000110	Hyperlipidaemia screening test		Deleted: use 44q8. (Hyperlipidaemia screening test)	T	T	T	F	F	F	T	T	D	1999-09-01
68F1.	00	Rheumatoid arthritis screen	68F1.	YaefQ	Rheumatoid arthritis screening	1016811000000108	2565831000000112	Rheumatoid arthritis screening test		Deleted: Use 43c6. (Rheum arthritis screening test)	T	T	T	F	T	F	T	T	D	1999-09-01
68U..	00	Drugs of abuse screening	X77WI	Yaedj	Drugs of abuse screening	1015891000000107	2552721000000117	Drugs of abuse screening test		Deleted: use 44q9. (Drugs of abuse screening test)	T	T	T	F	F	F	T	T	D	1999-09-01
68U0.	00	Drugs of abuse urine screening	XaEOD	Yaepz	Drugs of abuse urine screening	1015901000000108	2583121000000116	Drugs of abuse urine screening test		Deleted: use 44qA. (Drug abuse urine screen test)	T	T	T	F	F	F	F	F	D	1999-09-01
68V..	00	Toxicology screening	X77WW	Yaedz	Toxicology screening	1015911000000105	2557751000000112	Toxicology screening test		Deleted: use 44qB. (Toxicology screening test)	T	T	T	F	F	F	F	F	D	1999-09-01
42R9.	00	Saturation iron binding capac	XaFvN	Yah6T	Saturation iron binding capac	1009301000000107	2578301000000110	Saturation of iron binding capacity		Update Apr15: For deletion Oct15, use 42R80 Se unsat iron binding capacity or 42RB. Serum sat iron bindng capacity	T	T	T	T	T	F	F	F	C	2000-09-01
